fk_x_invoice_item_hub_id,created_at,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_item_hub_id_raw
11E7137B4AA594BFA211020AF2129A61,"2017-03-27 22:56:31.252",USD,432,1,0,NULL,NULL,"USPS label: 9400110897700060615130",11E7137B4AA701CFBCDA06616AC582AF,9497300DA0751B748666B22C505E24C1,...
11E7137B4AA853E2A211020AF2129A61,"2017-03-27 22:56:31.270",USD,312,1,0,NULL,NULL,"USPS label: 9400110897700060573560",11E7137B4AA9C529BCDA06616AC582AF,1CD7F3320E44A1FAC0B21D46E3ABC912,...
11E7137B4AAB3A15A211020AF2129A61,"2017-03-27 22:56:31.289",USD,396,1,0,NULL,NULL,"USPS label: 9400110897700058938722",11E7137B4AAC9B31BCDA06616AC582AF,A60FBE54A09CB1BA19F381094D757D99,...
11E7137B4AAE4758A211020AF2129A61,"2017-03-27 22:56:31.309",USD,781,1,0,NULL,NULL,"USPS label: 9405510200883057466151",11E7137B4AAF9C1FBCDA06616AC582AF,B418E1A3A38B851F6563AFD232B8DAE1,...
11E7137B4AB12D8BA211020AF2129A61,"2017-03-27 22:56:31.328",USD,768,1,0,NULL,NULL,"USPS label: 9405510200828023390818",11E7137B4AB29499BCDA06616AC582AF,DB0C237A6E51B9383AE0D7CB5114A6D5,...
11E7137B4AB43ACEA211020AF2129A61,"2017-03-27 22:56:31.348",USD,312,1,0,NULL,NULL,"USPS label: 9400110897700060091293",11E7137B4AB593FEBCDA06616AC582AF,2DB2B1BBBA61DB5CD6AFD285E1413873,...
11E7137B4AB72101A211020AF2129A61,"2017-03-27 22:56:31.368",USD,2641,1,0,NULL,NULL,"USPS label: 9405510200830161429343",11E7137B4AB890B0BCDA06616AC582AF,6DA55D763254828E783E5C7EF534F345,...
11E7137B4ABA2E44A211020AF2129A61,"2017-03-27 22:56:31.387",USD,432,1,0,NULL,NULL,"USPS label: 9400110897700060123567",11E7137B4ABB81DEBCDA06616AC582AF,E7B8347048CA69D2F6EEA23F960308D1,...
11E7137B4ABD3B87A211020AF2129A61,"2017-03-27 22:56:31.408",USD,402,1,0,NULL,NULL,"USPS label: 9400110897700060113087",11E7137B4ABE90EDBCDA06616AC582AF,7904635FA2A00F2465C283C33ACEA968,...
11E7137B4AC06FDAA211020AF2129A61,"2017-03-27 22:56:31.428",USD,396,1,0,NULL,NULL,"USPS label: 9400110897700060130695",11E7137B4AC1DC42BCDA06616AC582AF,EF21D3B382A9B89EF0A5A083B739C99A,...
11E7137B4AC37D1DA211020AF2129A61,"2017-03-27 22:56:31.449",USD,402,1,0,NULL,NULL,"USPS label: 9400110897700060198886",11E7137B4AC4F0DDBCDA06616AC582AF,1E3E60BC7DD7B9F5F8BBF0F713FF07D6,...
11E7137B4AC68A60A211020AF2129A61,"2017-03-27 22:56:31.468",USD,402,1,0,NULL,NULL,"USPS label: 9400110897700060152413",11E7137B4AC7E04EBCDA06616AC582AF,A38F848361F759ABFE453472819FFE02,...
11E7137B4AC94983A211020AF2129A61,"2017-03-27 22:56:31.486",USD,414,1,0,NULL,NULL,"USPS label: 9400110897700060225322",11E7137B4ACAA928BCDA06616AC582AF,A4E7A52A787E849482F945F77D28E2D3,...
11E7137B4ACCA4E6A211020AF2129A61,"2017-03-27 22:56:31.508",USD,949,1,0,NULL,NULL,"USPS label: 9405510200882026293620",11E7137B4ACE07B5BCDA06616AC582AF,A122300586CC75EBA03A4AB1391E135D,...
11E7137B4ACF8B19A211020AF2129A61,"2017-03-27 22:56:31.526",USD,768,1,0,NULL,NULL,"USPS label: 9405510200830163409008",11E7137B4AD0DFF2BCDA06616AC582AF,862962B8EFDE77D68924BAAF64E2CCDF,...
