fk_x_invoice_hub_id,created_at,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_hub_id_raw
11E7137A193AC8E3A211020AF2129A61,"2017-03-27 22:47:59.090",USD,7094,7094,7094,0,1,1,0,1,2121-4547,NULL,NULL,NULL,NULL,11E7137A196170B1BCDA06616AC582AF,3D769563CDA9B762BC15A6C3595A993A,...
11E7137A19EC654EA211020AF2129A61,"2017-03-27 22:48:00.356",USD,9103,9103,9103,0,1,1,0,1,2797-0825,NULL,NULL,NULL,NULL,11E7137A1A229D2DBCDA06616AC582AF,12192B9268944AC2D31ADF745604915C,...
11E7137A1C3877F9A211020AF2129A61,"2017-03-27 22:48:04.602",USD,5900,5900,5900,0,1,1,0,1,2669-0001,NULL,"2016-03-22 08:36:32","2016-04-05 08:36:32",NULL,11E7137A1CAA4261BCDA06616AC582AF,B1463DD41C32193CC3F168B964744ACC,...
11E7137A1E6DF591A211020AF2129A61,"2017-03-27 22:48:08.064",USD,14527,14527,14527,0,1,1,0,1,2794-1893,NULL,NULL,NULL,NULL,11E7137A1EBACF48BCDA06616AC582AF,E350D01C0B7518010C3EDAA433134A71,...
11E7137A1FE294C6A211020AF2129A61,"2017-03-27 22:48:10.424",USD,21178,21178,21178,0,1,1,0,1,2199-5334,NULL,NULL,NULL,NULL,11E7137A2022B693BCDA06616AC582AF,CDFCA04584B9A20BECED4BCC413AF3DB,...
11E7137A2489120FA211020AF2129A61,"2017-03-27 22:48:18.174",USD,21721,21721,21721,0,1,1,0,1,2162-3219,NULL,NULL,NULL,NULL,11E7137A24C15FBCBCDA06616AC582AF,A9F4CCE3CF6C398A0AC33EAC982AF86F,...
11E7137A262360C6A211020AF2129A61,"2017-03-27 22:48:21.099",USD,17260,17260,17260,0,1,1,0,1,2230-3512,NULL,NULL,NULL,NULL,11E7137A267FBB3DBCDA06616AC582AF,17ACC7593A9D094EECD3EE7AD3027DA4,...
11E7137A2AB14D94A211020AF2129A61,"2017-03-27 22:48:28.518",USD,18204,18204,18204,0,1,1,0,1,2997-8731,NULL,NULL,NULL,NULL,11E7137A2AEBCA97BCDA06616AC582AF,273402DC61F5012CE72ECA0BE9B156A9,...
11E7137A2C232C94A211020AF2129A61,"2017-03-27 22:48:31.030",USD,16410,16410,16410,0,1,1,0,1,2399-7250,NULL,NULL,NULL,NULL,11E7137A2C6B1719BCDA06616AC582AF,AE2063D164A9E9BAE4ABD7D3C6602DC5,...
11E7137A30ABC25DA211020AF2129A61,"2017-03-27 22:48:39.230",USD,17997,17997,17997,0,1,1,0,1,2454-0618,NULL,NULL,NULL,NULL,11E7137A314E64D7BCDA06616AC582AF,75D90A260FCFCBA968A90F2A140C6A65,...
11E7137A3280D016A211020AF2129A61,"2017-03-27 22:48:41.592",USD,15203,15203,15203,0,1,1,0,1,2485-4037,NULL,NULL,NULL,NULL,11E7137A32B6AADABCDA06616AC582AF,BF7710C6A9ADEDF99FAFF170F0DDF0E0,...
11E7137A36A3ECE2A211020AF2129A61,"2017-03-27 22:48:52.553",USD,14291,14291,14291,0,1,1,0,1,2323-6226,NULL,NULL,NULL,NULL,11E7137A393F34DABCDA06616AC582AF,F899F2D33581503FF81E345FAED636C7,...
