sk_id,created_at,updated_at,deleted_at,fk_r_billing_engine_ref_cd,x_invoice_item_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,x_created_at,fk_s_change_context_id_cr,fk_s_change_context_id_dl,sk_id_raw
11E7137BCEBB35C1A211020AF2129A61,"2017-03-27 23:00:12.850","2017-03-27 23:00:12.853",NULL,STRIPE,ii_18I7UAHiCtHGC78FmzmY9sWY,SHIPPING,...,NULL,"2016-06-02 18:52:30",11E7137BCEBC8AF9BCDA06616AC582AF,NULL,...
11E7137BCEBE1BF4A211020AF2129A61,"2017-03-27 23:00:12.869","2017-03-27 23:00:12.872",NULL,STRIPE,ii_18I7UBHiCtHGC78FTpoJwqho,SHIPPING,...,NULL,"2016-06-02 18:52:31",11E7137BCEBF78B9BCDA06616AC582AF,NULL,...
11E7137BCEC12937A211020AF2129A61,"2017-03-27 23:00:12.889","2017-03-27 23:00:12.891",NULL,STRIPE,ii_18I7UCHiCtHGC78FoVacxd1F,SHIPPING,...,NULL,"2016-06-02 18:52:32",11E7137BCEC27270BCDA06616AC582AF,NULL,...
11E7137BCEC40F6AA211020AF2129A61,"2017-03-27 23:00:12.908","2017-03-27 23:00:12.911",NULL,STRIPE,ii_18I7UCHiCtHGC78Fj8mvK2FO,SHIPPING,...,NULL,"2016-06-02 18:52:32",11E7137BCEC56B87BCDA06616AC582AF,NULL,...
11E7137BCEC6F59DA211020AF2129A61,"2017-03-27 23:00:12.928","2017-03-27 23:00:12.930",NULL,STRIPE,ii_18I7UDHiCtHGC78F1DakW1D7,SHIPPING,...,NULL,"2016-06-02 18:52:33",11E7137BCEC85D6CBCDA06616AC582AF,NULL,...
11E7137BCECA02E0A211020AF2129A61,"2017-03-27 23:00:12.947","2017-03-27 23:00:12.950",NULL,STRIPE,ii_18I7UEHiCtHGC78FpeSyqSec,SHIPPING,...,NULL,"2016-06-02 18:52:34",11E7137BCECB5FF3BCDA06616AC582AF,NULL,...
11E7137BCECCE913A211020AF2129A61,"2017-03-27 23:00:12.967","2017-03-27 23:00:12.969",NULL,STRIPE,ii_18I7UEHiCtHGC78FfK6cQMdk,SHIPPING,...,NULL,"2016-06-02 18:52:34",11E7137BCECE5015BCDA06616AC582AF,NULL,...
11E7137BCECFF656A211020AF2129A61,"2017-03-27 23:00:12.986","2017-03-27 23:00:12.989",NULL,STRIPE,ii_18I7UGHiCtHGC78FH1FrP8n1,SHIPPING,...,NULL,"2016-06-02 18:52:36",11E7137BCED1466CBCDA06616AC582AF,NULL,...
11E7137BCF74E867A211020AF2129A61,"2017-03-27 23:00:14.068","2017-03-27 23:00:14.071",NULL,STRIPE,ii_18I7TgHiCtHGC78F9RW4Z0oD,SHIPPING,...,NULL,"2016-06-02 18:52:00",11E7137BCF763844BCDA06616AC582AF,NULL,...
11E7137BD76A6A6CA211020AF2129A61,"2017-03-27 23:00:27.421","2017-03-27 23:00:27.423",NULL,STRIPE,ii_18ITtQHiCtHGC78FOSoE6qMJ,SHIPPING,...,NULL,"2016-06-03 18:48:04",11E7137BD76BD8FFBCDA06616AC582AF,NULL,...
11E7137BD76D77AFA211020AF2129A61,"2017-03-27 23:00:27.440","2017-03-27 23:00:27.443",NULL,STRIPE,ii_18ITtRHiCtHGC78FrrAyLz7F,SHIPPING,...,NULL,"2016-06-03 18:48:05",11E7137BD76ECB37BCDA06616AC582AF,NULL,...
11E7137BD7705DE2A211020AF2129A61,"2017-03-27 23:00:27.460","2017-03-27 23:00:27.462",NULL,STRIPE,ii_18ITtTHiCtHGC78FJ6qK6eix,SHIPPING,...,NULL,"2016-06-03 18:48:07",11E7137BD771C24EBCDA06616AC582AF,NULL,...
11E7137BD7736B25A211020AF2129A61,"2017-03-27 23:00:27.479","2017-03-27 23:00:27.481",NULL,STRIPE,ii_18ITtTHiCtHGC78FZUPsZbqs,SHIPPING,...,NULL,"2016-06-03 18:48:07",11E7137BD774B998BCDA06616AC582AF,NULL,...
11E7137BD7765158A211020AF2129A61,"2017-03-27 23:00:27.498","2017-03-27 23:00:27.501",NULL,STRIPE,ii_18ITtTHiCtHGC78FRbszOATF,SHIPPING,...,NULL,"2016-06-03 18:48:07",11E7137BD777A952BCDA06616AC582AF,NULL,...
11E7137BD779378BA211020AF2129A61,"2017-03-27 23:00:27.517","2017-03-27 23:00:27.520",NULL,STRIPE,ii_18ITtVHiCtHGC78FH3KEUTr4,SHIPPING,...,NULL,"2016-06-03 18:48:09",11E7137BD77A9677BCDA06616AC582AF,NULL,...
11E7137BD77CB9FEA211020AF2129A61,"2017-03-27 23:00:27.541","2017-03-27 23:00:27.543",NULL,STRIPE,ii_18ITtVHiCtHGC78F5D4fuh6P,SHIPPING,...,NULL,"2016-06-03 18:48:09",11E7137BD77E23D9BCDA06616AC582AF,NULL,...
11E7137BD77FC741A211020AF2129A61,"2017-03-27 23:00:27.560","2017-03-27 23:00:27.563",NULL,STRIPE,ii_18ITtWHiCtHGC78FzF0hsDCG,SHIPPING,...,NULL,"2016-06-03 18:48:10",11E7137BD78112A6BCDA06616AC582AF,NULL,...
11E7137BD782AD74A211020AF2129A61,"2017-03-27 23:00:27.579","2017-03-27 23:00:27.582",NULL,STRIPE,ii_18ITtXHiCtHGC78FaKmQfee8,SHIPPING,...,NULL,"2016-06-03 18:48:11",11E7137BD7840223BCDA06616AC582AF,NULL,...
11E7137BD785BAB7A211020AF2129A61,"2017-03-27 23:00:27.599","2017-03-27 23:00:27.601",NULL,STRIPE,ii_18ITtYHiCtHGC78FYlcWcbZv,SHIPPING,...,NULL,"2016-06-03 18:48:12",11E7137BD7870295BCDA06616AC582AF,NULL,...
11E7137BD788A0EAA211020AF2129A61,"2017-03-27 23:00:27.618","2017-03-27 23:00:27.621",NULL,STRIPE,ii_18ITtYHiCtHGC78FYomfGza7,SHIPPING,...,NULL,"2016-06-03 18:48:12",11E7137BD789F0D5BCDA06616AC582AF,NULL,...
11E7137BD78B871DA211020AF2129A61,"2017-03-27 23:00:27.637","2017-03-27 23:00:27.640",NULL,STRIPE,ii_18ITtZHiCtHGC78FAVKezRys,SHIPPING,...,NULL,"2016-06-03 18:48:13",11E7137BD78CE24ABCDA06616AC582AF,NULL,...
11E7137BD78E6D50A211020AF2129A61,"2017-03-27 23:00:27.656","2017-03-27 23:00:27.659",NULL,STRIPE,ii_18ITtaHiCtHGC78FDYe8uWwZ,SHIPPING,...,NULL,"2016-06-03 18:48:14",11E7137BD78FCFD0BCDA06616AC582AF,NULL,...
11E7137BD7915383A211020AF2129A61,"2017-03-27 23:00:27.675","2017-03-27 23:00:27.678",NULL,STRIPE,ii_18ITtbHiCtHGC78F0Lmg5xlb,SHIPPING,...,NULL,"2016-06-03 18:48:15",11E7137BD792B264BCDA06616AC582AF,NULL,...
11E7137BD79460C6A211020AF2129A61,"2017-03-27 23:00:27.695","2017-03-27 23:00:27.697",NULL,STRIPE,ii_18ITtbHiCtHGC78FTI2jDe2o,SHIPPING,...,NULL,"2016-06-03 18:48:15",11E7137BD795B184BCDA06616AC582AF,NULL,...
11E7137BD79746F9A211020AF2129A61,"2017-03-27 23:00:27.714","2017-03-27 23:00:27.716",NULL,STRIPE,ii_18ITtcHiCtHGC78FEVwDjIgR,SHIPPING,...,NULL,"2016-06-03 18:48:16",11E7137BD7989387BCDA06616AC582AF,NULL,...
11E7137BD79A2D2CA211020AF2129A61,"2017-03-27 23:00:27.733","2017-03-27 23:00:27.735",NULL,STRIPE,ii_18ITtdHiCtHGC78FGxxvewWd,SHIPPING,...,NULL,"2016-06-03 18:48:17",11E7137BD79B7676BCDA06616AC582AF,NULL,...
