fk_r_billing_engine_ref_cd,x_invoice_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_hub_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_17GJZOHiCtHGC78FBTmZfPuv,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:17.721","2017-03-27 22:35:18.248","2015-12-09 17:50:10",NULL,NULL
STRIPE,in_17Gg1sHiCtHGC78Fi9pTDbqK,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:21.834","2017-03-27 22:35:21.931","2015-12-10 17:49:04",NULL,NULL
STRIPE,in_17Gg2MHiCtHGC78FDFLoTP5q,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:23.443","2017-03-27 22:35:23.851","2015-12-10 17:49:34",NULL,NULL
STRIPE,in_17H2VSHiCtHGC78FC1nlGLyE,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:28.210","2017-03-27 22:35:28.497","2015-12-11 17:49:06",NULL,NULL
STRIPE,in_17H2WAHiCtHGC78FPErnxybr,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:30.939","2017-03-27 22:35:31.191","2015-12-11 17:49:50",NULL,NULL
STRIPE,in_17HOynHiCtHGC78FVW11qNt4,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:33.720","2017-03-27 22:35:34.050","2015-12-12 17:48:53",NULL,NULL
STRIPE,in_17HOz3HiCtHGC78FEz2Ne2ZK,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:35.177","2017-03-27 22:35:35.438","2015-12-12 17:49:09",NULL,NULL
STRIPE,in_17HlSFHiCtHGC78FCtSXNNa1,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:39.184","2017-03-27 22:35:39.404","2015-12-13 17:48:47",NULL,NULL
STRIPE,in_17HlSeHiCtHGC78FY5Lny9K1,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:40.902","2017-03-27 22:35:41.170","2015-12-13 17:49:12",NULL,NULL
STRIPE,in_17I7voHiCtHGC78F80awgtmC,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:43.796","2017-03-27 22:35:43.879","2015-12-14 17:48:48",NULL,NULL
