fk_x_invoice_item_hub_id,created_at,fk_s_change_context_id,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,row_hash
...,"2017-03-27 22:52:19.620",...,USD,1129,1,0,NULL,NULL,"USPS label: 9405510200881004520185",...
...,"2017-03-27 22:52:19.638",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700056951136",...
...,"2017-03-27 22:52:19.657",...,USD,304,1,0,NULL,NULL,"USPS label: 9400110897700055406064",...
...,"2017-03-27 22:52:19.675",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057276658",...
...,"2017-03-27 22:52:19.693",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057374903",...
...,"2017-03-27 22:52:19.711",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057413626",...
...,"2017-03-27 22:52:19.730",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057697446",...
...,"2017-03-27 22:52:19.748",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057696944",...
...,"2017-03-27 22:52:19.766",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057450249",...
...,"2017-03-27 22:52:19.784",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057757768",...
...,"2017-03-27 22:52:19.802",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057706773",...
...,"2017-03-27 22:52:19.820",...,USD,402,1,0,NULL,NULL,"USPS label: 9400110897700057842921",...
...,"2017-03-27 22:52:19.839",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057783033",...
...,"2017-03-27 22:52:19.857",...,USD,420,1,0,NULL,NULL,"USPS label: 9400110897700057886925",...
...,"2017-03-27 22:52:19.878",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057913218",...
...,"2017-03-27 22:52:19.897",...,USD,1683,1,0,NULL,NULL,"USPS label: 9405510200882004271824",...
...,"2017-03-27 22:52:19.916",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057949590",...
...,"2017-03-27 22:52:19.935",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057936477",...
...,"2017-03-27 22:52:19.953",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057956161",...
...,"2017-03-27 22:52:19.972",...,USD,1129,1,0,NULL,NULL,"USPS label: 9405510200881004605981",...
...,"2017-03-27 22:52:19.992",...,USD,949,1,0,NULL,NULL,"USPS label: 9405510200883045502779",...
...,"2017-03-27 22:52:20.010",...,USD,402,1,0,NULL,NULL,"USPS label: 9400110897700057995672",...
...,"2017-03-27 22:52:20.029",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058044614",...
...,"2017-03-27 22:52:20.047",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058039665",...
...,"2017-03-27 22:52:22.992",...,USD,770,1,0,NULL,NULL,"USPS label: 9405510200793968987785",...
...,"2017-03-27 22:52:23.010",...,USD,432,1,0,NULL,NULL,"USPS label: 9400110897700057496490",...
...,"2017-03-27 22:52:23.033",...,USD,1129,1,0,NULL,NULL,"USPS label: 9405510200883044314946",...
...,"2017-03-27 22:52:23.051",...,USD,1335,1,0,NULL,NULL,"USPS label: 9405510200882001938676",...
...,"2017-03-27 22:52:23.069",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057926935",...
...,"2017-03-27 22:52:23.087",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057925655",...
...,"2017-03-27 22:52:23.105",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057988551",...
...,"2017-03-27 22:52:23.124",...,USD,1988,1,0,NULL,NULL,"USPS label: 9405510200793980514617",...
...,"2017-03-27 22:52:23.142",...,USD,1443,1,0,NULL,NULL,"USPS label: 9405510200882996536338",...
...,"2017-03-27 22:52:23.161",...,USD,721,1,0,NULL,NULL,"USPS label: 9405510200881993258519",...
