fk_r_billing_engine_ref_cd,x_invoice_item_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,ii_16wNBvHiCtHGC78FlnmiaRje,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.283","2017-03-27 22:31:32.285","2015-10-15 18:39:31",NULL,NULL
STRIPE,ii_16wNBvHiCtHGC78Fg2InYrt4,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.301","2017-03-27 22:31:32.304","2015-10-15 18:39:31",NULL,NULL
STRIPE,ii_16wNBvHiCtHGC78FkNdsrVSI,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.320","2017-03-27 22:31:32.322","2015-10-15 18:39:31",NULL,NULL
STRIPE,ii_16wNBwHiCtHGC78FhQGO9eOH,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.338","2017-03-27 22:31:32.340","2015-10-15 18:39:32",NULL,NULL
STRIPE,ii_16wNBwHiCtHGC78FpDlWiKG7,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.356","2017-03-27 22:31:32.359","2015-10-15 18:39:32",NULL,NULL
STRIPE,ii_16wNBwHiCtHGC78Fld6RLeU1,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.375","2017-03-27 22:31:32.377","2015-10-15 18:39:32",NULL,NULL
STRIPE,ii_16wNBwHiCtHGC78F5gn9uBi5,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.393","2017-03-27 22:31:32.395","2015-10-15 18:39:32",NULL,NULL
STRIPE,ii_16wNBwHiCtHGC78FZP4YKcKb,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.411","2017-03-27 22:31:32.414","2015-10-15 18:39:32",NULL,NULL
STRIPE,ii_16wNBxHiCtHGC78FuU5JXFbp,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.429","2017-03-27 22:31:32.432","2015-10-15 18:39:33",NULL,NULL
STRIPE,ii_16wNBxHiCtHGC78FKn5eOXsd,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.448","2017-03-27 22:31:32.450","2015-10-15 18:39:33",NULL,NULL
